"id","name","created_at","updated_at","background_color","text_color","hospital_id"
1,"317_monk_2_monkunit2",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
2,"294_labor_2_deliv",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
3,"302_emer_2_referral",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
4,"311_emer_6_icuburn",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
5,"312_monk_4_specmonk4",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
6,"313_monk_5_specmonk5",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
7,"282_68y_1_pediatrics",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
8,	298_84y_1_kidney1_v2,2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
9,	314_monk_3_icu_v2,2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
10,"287_labour_1_v2",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
11,"287_labour_1_v2",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
12,"269_50y_1_v2",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
13,	278_50y_2_ortho_v2,2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
14,	278_50y_2_ortho_v2,2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
15,"280_50y_2_L_v2",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
16,	331_chalerm_3_v2,2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
17,	322_84y_3_med2m3_v2,2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
18,"309_emer_7_V2",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
19,"287_labour_1_v2",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
20,"287_labour_1_v2",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
21,"318_labour_4_v2",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
22,"318_labour_4_v2",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
23,"269_50y_1_v2",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
24,"269_50y_1_v2",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
25,"269_50y_1_v2",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
26,"280_50y_2_L_v2",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
27,"379_admin_1_discharge_v2",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
28,"379_admin_1_discharge_v2",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
29,	331_chalerm_3_v2,2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
30,"321_labor_3_postdel",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
31,"285_50y_3_ophth",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
32,"286_50y_3_ent",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
33,"290_84y_5_heart",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
34,"270_emer_1_er",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
35,"344_emer_1_burncenter",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
36,"295_emer_2_observe",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
37,"307_emer_9_ortho9",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
38,"306_emer_10_ortho10",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
39,"304_emer_13_spec13trauma",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
40,"305_emer_14_spec14trauma",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
41,"337_ura_1_neuro",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
42,"326_68y_4_specpediatrics",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
43,"338_xray_2_icucvtsurg",2024-09-06 16:57:38.482 +0700,2024-09-06 16:57:38.482 +0700,#FFFFFF,#000000,15
